date,volumeUSDChange,volumeToken0Change,volumeToken1Change,tvlUSDChange,txCount,feesUSD
1716076800,-1516998.3245897125,-464.83166794085355,-1523176.1554419994,-1685540.9843238294,316,28144.51750776755922736630399387687
1716163200,88175509.06454988,25947.951430640922,88212158.959678,19004144.023068994,695,292671.0447014172023985923489261003
1716249600,-22706528.907848492,-8930.482026430847,-22731213.933536008,-12212793.58149302,1697,224551.4579778717303274816054828565
1716336000,-24430266.991206415,-6545.237860955511,-24433122.518391997,-539375.9967373908,1280,151260.6570042524875281575641470195
1716422400,71863962.76317188,19084.790417022698,71993826.490536,1615061.4329817295,1239,366852.5452937681221855359684988273
1716508800,-82690470.91252393,-21937.212063487008,-82813698.342926,-207051.92246207595,1020,118781.132556196312312328163658521
1708041600,485293.2739839088,320482.8691699449,242.37115374613427,-60334.76724506542,553,2990.381700156367453586387610583996
1708128000,-2908534.8426822033,-2852569.9479857036,-1046.5514687707584,-35073.971465691924,505,1536.114278815265705812201055771024
1708214400,272997.09149737377,282990.66283624014,78.11385890875704,291215.6619905904,529,1672.61282456395264716128032994006
1708300800,31868.9040889116,27798.234379332047,-28.0817746196426,164270.34941925108,562,1688.54727660840847893317021129161
1708387200,2355101.6640960304,2349365.3769219597,794.4758876979597,247652.2187390253,540,2866.098108656423721594403237692594
1708473600,484243.94780197367,467737.2601872552,179.24674220295742,-146407.4121240899,489,3108.220082557410291005507445321413
1708560000,-3264011.6294741794,-3249390.6176498127,-1136.6531915586997,-328844.0638605803,402,1476.214267820320847132482464782426
1708646400,3150415.3485345687,3191309.701714398,1068.1144056907606,-203468.46476813033,401,3051.421942087605222347562546811213
1708732800,-3247977.61631948,-3283733.564185801,-1097.6017917988625,227932.92478442192,389,1427.43313392786518151768287236713
1708819200,-830425.6812262691,-830166.015492355,-303.00775628477936,-262010.3911600858,395,1012.220293314730640516702474386124
1708905600,2442639.1242302908,2443377.299905813,761.8976892700193,96448.32405411825,558,2233.539855429876352297134594677498
1708992000,101314914.65127082,101333261.24792288,31122.558358627623,7571047.825370122,1150,52890.99718106528613710819886884889
1709078400,-27568224.73708169,-27785115.596428335,-8728.775503162622,-6713644.941862635,1028,39106.88481252443425800389349279062
1709164800,-17477790.90790151,-17268688.64838209,-6355.883795584832,7878989.9940552,749,30367.98935857368191621435179155767
1709251200,8778240.760849595,8767370.023984306,2846.382878947501,524486.4575825706,893,34757.10973899848188943776662640675
1709337600,-8970805.094654761,-8971985.595536895,-2632.19320004763,-93280.34311852604,884,30271.70719167109807348485913264445
1709424000,-3115183.8317890465,-3106497.8453228325,-981.133817448328,441522.3375834301,853,28714.11527577657585534381676395772
1709510400,39909989.764217384,39738807.88485711,11127.103720334162,-7555591.852806598,1033,48669.11015788526696799298575024493
1709596800,-86404315.05827455,-86251300.25387216,-24759.17893110583,-164963.02616328374,654,5466.952628747990546081605036771268
1709683200,-5304473.294892434,-5290756.190845368,-1571.8410216159393,726984.2898130901,556,2814.715981301773562319226713505359
1709769600,-1264001.2281305157,-1275562.248126587,-348.1726705179908,165163.60461679474,400,2182.715367236515559304522944898742
1709856000,1294973.7180580823,1305568.0847045565,295.7969185575216,-233696.65270078182,527,2830.202226265556648666730935238511
1709942400,-3296723.7696016664,-3304382.535547178,-835.2662269279303,52410.66079679504,342,1181.840341464723404950372311786097
1710028800,2817254.307843673,2811475.4715212197,724.3633998310788,-119279.59472841397,463,2590.467495386560151003909274133448
1710115200,-363175.6412834702,-346856.2561490601,-108.91624937524989,642651.6158099063,458,2408.879674744824980287745798746891
1710201600,57636641.56351948,57705777.06359519,14359.418234371316,69765.75894360244,698,31227.20045650456489048274184521701
1710288000,-48674934.85741906,-48780969.526903994,-12160.325079907445,-236534.60974202678,522,6889.733027795036989753043433424297
1710374400,-8285904.670112471,-8260869.122967301,-2010.7735129508244,-801432.8915884048,447,2746.780692738801700234911455498037
1710460800,111688433.11558199,111501380.51206654,30598.96237187833,7946678.872185964,1271,58590.99725052979399682617023449096
1710547200,-105975334.89110827,-106005663.66636965,-28853.883751055982,-9042367.63803475,609,5603.329804975656384491794436012184
1710633600,-2656278.9128775597,-2268739.5181112085,-823.1733140664514,364094.96040664613,584,4275.190348536876641900279980268104
1710720000,-2866562.286255832,-3041246.9174728068,-727.0081920102216,-323452.9224060625,548,2841.909205408960886341106129058492
1710806400,6420485.0370027805,6330248.803848668,2098.508269392262,-1241247.955407761,958,6052.151723910351012095487594662621
1710892800,41031488.02844865,41129821.85606366,12467.810815333425,5777791.139114685,1528,26567.89573813467578478160350372853
1710979200,-23167620.466848884,-23169314.620897546,-7615.7477404198,2066419.1860629842,1058,14984.08550471023201031941652236478
1711065600,16259710.82760797,16207427.681309715,5175.501744379757,-685987.7160551026,1308,23113.94091851421862964549499701632
1711152000,-25107983.00503722,-25099444.424345993,-7439.836400304842,74484.18468354642,884,10559.94941599560885430490235257467
1711238400,-6616168.304714562,-6567125.928827677,-1990.0209340493348,521214.2578239478,860,7251.865263638327789906051206409526
1711324800,4821770.832131511,4822573.065416135,1174.6243772412308,535056.2841182277,923,9662.750679704082547301478941491212
1711411200,-309861.3321899101,-333274.80155619606,-195.32694794998042,41164.02796448767,774,9507.820013609127317113681749719474
1711497600,-970899.0649251081,-949497.9576084055,-195.7065469297513,-383322.7807223983,729,9022.370481146573291135324954342733
1711584000,-5806343.692962099,-5804904.701059122,-1638.1004104614394,293140.46075521037,583,6119.198634665525027223954655759471
1711670400,-2919499.88172077,-2921900.5341574363,-806.954565319229,-347824.54635568336,586,4659.448693805139507118675370832003
1711756800,-2324294.029759134,-2325436.138775008,-649.7480060359264,-17273.093725040555,506,3497.301678925572470041601581370723
1711843200,604337.7238485785,609178.6745200241,118.9458717097416,518743.20891522244,480,3799.470540849861506968195003572637
1711929600,5603317.810888665,5599196.877095099,1646.8923806925704,-525907.1070474274,753,6601.129446294193767558409446871059
1712016000,18979363.637147833,18964918.542091563,5945.7165401787115,-953827.4102722518,1032,16090.81126486811014562265396889039
1712102400,-14327456.679146245,-14311745.092643045,-4304.877383935511,166787.29390326142,777,8927.08292529498734001483133073408
1712188800,4948027.52286429,4975269.798427682,1414.4283030336464,62381.274381414056,686,11401.09668672713221914092523319176
1712275200,-7005388.4636823125,-7032876.333837243,-2004.8019152995394,-12665.820049557835,818,7898.402454885976136018519485900951
1712361600,-8834591.83173927,-8834683.622048408,-2721.154088398288,191733.79313753545,575,3481.106539016341305455296024205096
1712448000,2386678.581849673,2390665.9059736775,669.1400894734625,363068.99656289443,615,4674.445829941177668945270797581993
1712534400,13977132.941426434,14108115.625289079,3675.0657725062056,876087.0157929957,808,11663.01230065439363314612226371176
1712620800,-7350199.371727359,-7487074.989553019,-1975.2029080506309,-778634.8468809053,697,7987.912614790715673230303741837825
1712707200,2579237.0875559673,2581252.9316000566,856.3073488793361,191370.7140503861,934,9277.53115856869833799434165300249
1712793600,-5475029.919089073,-5475638.035637634,-1608.3162061594626,-160573.7255379781,758,6540.016199024162385418033883981596
1712880000,10034531.257012768,10037179.917010741,3248.8038748539398,-1072238.086650718,963,11557.28182753054657339831287391548
1712966400,9587272.111712217,9587348.610923726,3546.0649667666203,-1112878.1400044747,1357,16350.91788338665537259088266454077
1713052800,-13788895.61182513,-13808953.060622692,-4282.6456806447,-3089900.056524545,1536,9456.470077474088692649915562996735
1713139200,-7314144.435279321,-7382521.611295614,-2503.781933284462,-244537.8519517854,1095,5799.397859834429104166334102591657
1713225600,-2493511.6744934972,-2408373.0358023793,-740.4320774577859,136859.3019344695,1054,4552.642022587680352417247127384869
1713312000,-1476007.1535065696,-1469596.6254094858,-436.0931118859089,-415273.63656918705,733,3814.638445834395293668987536995674
1713398400,280828.32683064044,272159.4528961424,78.43712040577975,350001.6522217281,845,3955.052609249715789555233966339571
1713484800,4262544.617811205,4249932.237826079,1403.5695011772968,2640284.599385027,1159,6086.324918155318081639201462710262
1713571200,-7464597.937129315,-7449465.558197214,-2487.5981368907233,363780.07674965635,694,2354.025949590660505463197232843021
1713657600,677155.4326139046,694414.3422286743,172.06765964011015,-22338.853094741702,668,2692.603665897612801339415123994789
1713744000,218284.9399425499,200089.5213506138,57.85960364634184,218490.22639373317,704,2801.746135868887830431127979086636
1713830400,984326.1773239272,967031.7786997966,303.63209751053,6714.004090014845,702,3293.909224530851612776310781801546
1713916800,1716712.1805099295,1733983.227932225,542.0359180344831,625924.831075877,700,4152.26531478581644171504448184303
1714003200,-440244.9195371866,-436750.51262756623,-99.08803458037892,145164.97185423598,806,3932.142855017222712138137603813573
1714089600,-3745012.6915986566,-3746863.1530736107,-1189.2819863770549,-138721.8565083556,726,2059.636509217894724718425357828647
1714176000,4889071.177188035,4892270.000297088,1500.523602565511,1492417.6271181516,813,4504.172097811912382146037591647846
